model,balanced_accuracy_mean,balanced_accuracy_standard_deviation,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_standard_deviation,macro_f1_ci95_low,macro_f1_ci95_high,roc_auc_mean,roc_auc_standard_deviation,roc_auc_ci95_low,roc_auc_ci95_high,average_precision_mean,average_precision_standard_deviation,average_precision_ci95_low,average_precision_ci95_high,log_loss_mean,log_loss_standard_deviation,log_loss_ci95_low,log_loss_ci95_high,brier_score_mean,brier_score_standard_deviation,brier_score_ci95_low,brier_score_ci95_high,delta_balanced_accuracy_vs_A_mean,delta_balanced_accuracy_vs_A_standard_deviation,delta_balanced_accuracy_vs_A_ci95_low,delta_balanced_accuracy_vs_A_ci95_high,delta_macro_f1_vs_A_mean,delta_macro_f1_vs_A_standard_deviation,delta_macro_f1_vs_A_ci95_low,delta_macro_f1_vs_A_ci95_high,delta_roc_auc_vs_A_mean,delta_roc_auc_vs_A_standard_deviation,delta_roc_auc_vs_A_ci95_low,delta_roc_auc_vs_A_ci95_high,delta_log_loss_vs_A_mean,delta_log_loss_vs_A_standard_deviation,delta_log_loss_vs_A_ci95_low,delta_log_loss_vs_A_ci95_high,delta_brier_score_vs_A_mean,delta_brier_score_vs_A_standard_deviation,delta_brier_score_vs_A_ci95_low,delta_brier_score_vs_A_ci95_high
Model A,0.5594366415767829,0.01137213748684937,0.5384958679289206,0.5762275936990766,0.5579111960465069,0.013447537406833772,0.5323571888625936,0.5777290573285929,0.5672767129665555,0.00888708672533315,0.5477466633041049,0.5820802940948242,0.7212230999613913,0.006454112438007794,0.7090689137349799,0.7330073900379602,0.6834374521746795,0.0026516978386646947,0.6792584774383763,0.6890274094487974,0.24501496216727908,0.0012750094286611755,0.24301302094306215,0.2477404240567184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Model B,0.5524315201365718,0.011749341437566292,0.5296066772716691,0.5708570652595639,0.5373071002557849,0.011526595896026913,0.515890614317438,0.558297506294405,0.5705581205866378,0.012830470862780783,0.5452890509816094,0.5930902265849305,0.7197524052039106,0.009013763046477679,0.7033667255760059,0.7345835392274992,0.6877692417972427,0.005366684034113246,0.6798698968777905,0.6990076087630216,0.24693779492767437,0.002512324313826974,0.24323432371856,0.2521891773095495,-0.00700512144021107,0.014346601172950566,-0.03304657794676807,0.01821884457204932,-0.020604095790721994,0.017211173378648,-0.05041143191906639,0.007704665731028156,0.003281407620082266,0.008194436979895924,-0.010544444013346792,0.015739116939551427,0.004331789622563048,0.003919414309316159,-0.001404325235028933,0.011929620553211309,0.00192283276039526,0.0018059030170888288,-0.0007391335319439508,0.00544168693252282
Model C,0.5487384573601304,0.011841312417853501,0.530037149840925,0.571983879102972,0.5341611372143964,0.011858116492225273,0.517330826063243,0.5565615812180563,0.5676018468223792,0.013308469281715677,0.5423234655078761,0.5918878520990144,0.7173513295038356,0.009252837172161386,0.6983673147649518,0.7329864889927595,0.6877029273957704,0.004956845508359346,0.6799673177774419,0.6979908752010751,0.24698988948600126,0.0023314029814297883,0.24327945509998936,0.25176193232977134,-0.010698184216652435,0.015445727497905466,-0.03391499185225422,0.01584038178008847,-0.023750058832110472,0.018181032643886562,-0.051601870196477134,0.006822750711220039,0.0003251338558236949,0.008319093015690775,-0.012833669589508812,0.014536742453635336,0.004265475221090826,0.0033958155090197174,-0.0008466056555738481,0.010560150109270682,0.001974927318722211,0.0015754933462322092,-0.00044111476201298054,0.0048812288594881955
Model D,0.5433524094048267,0.012133138887069211,0.5278937107162257,0.567010844261659,0.5284428983135311,0.011528242179109355,0.512098352345838,0.549841232752373,0.5595441142236361,0.012559167548343467,0.531357278652906,0.5815498176456894,0.7134181513207661,0.007949382616816096,0.6968535371283163,0.7260189576574446,0.691324990890187,0.0049857216641517816,0.6829841652174333,0.7024177788151594,0.24873525256707926,0.002337089254942409,0.2447945998996178,0.2539085444744054,-0.016084232171956238,0.012969629230023616,-0.03847811748273455,0.005107957631721841,-0.02946829773297572,0.015212067461682658,-0.05687981868939102,-0.002237746656476719,-0.007732598742919245,0.00927354591777732,-0.023740979281446445,0.009671762241018018,0.007887538715507358,0.0034539033285896237,0.0024232017897357987,0.014327087784489774,0.003720290399800252,0.0016019736318803098,0.0011627622644942346,0.006688919320881422
