category_first_pass,suppressed_count,forgotten_count,suppressed_pct,forgotten_pct,pct_point_diff_supp_minus_forg,p_value,rank,q_value_bh
dual_use_virology,172,69,0.3269961977186312,0.2816326530612245,4.536354465740672,0.20579500017474664,2,0.3946637828535111
reverse_genetics_easy_editing,124,51,0.23574144486692014,0.20816326530612245,2.7578179560797693,0.3946637828535111,6,0.3946637828535111
bioweapons_bioterrorism,20,6,0.03802281368821293,0.024489795918367346,1.3533017769845581,0.33242365869455504,5,0.3946637828535111
expanding_access,12,3,0.022813688212927757,0.012244897959183673,1.0568790253744085,0.32252324079431327,4,0.3946637828535111
enhanced_potential_pandemic_pathogens,129,69,0.24524714828897337,0.2816326530612245,-3.638550477225111,0.2815845219219818,3,0.3946637828535111
viral_vector_research,69,47,0.1311787072243346,0.19183673469387755,-6.065802746954294,0.02826988304785977,1,0.16961929828715863
