method,subset,eval_type,clf,n_total,tp,fp,tn,fn,gibberish,precision,recall,f1,auc
Base,og,gen,-,2574,430,255,709,533,647,0.6277,0.3341,0.4361,
Base,og,logit,-,2574,515,359,928,772,,0.5892,0.4002,0.4766,0.6073
Base,og,probe_pl,LR,2574,735,521,766,552,,0.5852,0.5711,0.5781,0.5957
Base,og,probe_ml,LR,2574,687,490,797,600,,0.5837,0.5338,0.5576,0.6029
Base,og,probe_vote,LR,2574,738,528,759,549,,0.5829,0.5734,0.5781,
Base,og,probe_avg,LR,2574,746,536,751,541,,0.5819,0.5796,0.5808,0.6244
Base,og,probe_pl,RF,2574,685,515,772,602,,0.5708,0.5322,0.5509,0.598
Base,og,probe_ml,RF,2574,700,552,735,587,,0.5591,0.5439,0.5514,0.5899
Base,og,probe_vote,RF,2574,738,531,756,549,,0.5816,0.5734,0.5775,
Base,og,probe_avg,RF,2574,766,562,725,521,,0.5768,0.5952,0.5859,0.6219
Base,og,probe_pl,AdaBoost,2574,679,588,699,608,,0.5359,0.5276,0.5317,0.5622
Base,og,probe_ml,AdaBoost,2574,758,603,684,529,,0.5569,0.589,0.5725,0.5775
Base,og,probe_vote,AdaBoost,2574,716,513,774,571,,0.5826,0.5563,0.5692,
Base,og,probe_avg,AdaBoost,2574,689,501,786,598,,0.579,0.5354,0.5563,0.5958
Base,pattern,gen,-,1682,372,207,551,384,168,0.6425,0.4423,0.5239,
Base,pattern,logit,-,1682,360,214,627,481,,0.6272,0.4281,0.5088,0.6489
Base,pattern,probe_pl,LR,1682,493,340,501,348,,0.5918,0.5862,0.589,0.6269
Base,pattern,probe_ml,LR,1682,489,326,515,352,,0.6,0.5815,0.5906,0.6416
Base,pattern,probe_vote,LR,1682,495,344,497,346,,0.59,0.5886,0.5893,
Base,pattern,probe_avg,LR,1682,500,350,491,341,,0.5882,0.5945,0.5914,0.6411
Base,pattern,probe_pl,RF,1682,478,329,512,363,,0.5923,0.5684,0.5801,0.6244
Base,pattern,probe_ml,RF,1682,469,340,501,372,,0.5797,0.5577,0.5685,0.6146
Base,pattern,probe_vote,RF,1682,516,352,489,325,,0.5945,0.6136,0.6039,
Base,pattern,probe_avg,RF,1682,531,370,471,310,,0.5893,0.6314,0.6096,0.643
Base,pattern,probe_pl,AdaBoost,1682,456,374,467,385,,0.5494,0.5422,0.5458,0.587
Base,pattern,probe_ml,AdaBoost,1682,515,376,465,326,,0.578,0.6124,0.5947,0.607
Base,pattern,probe_vote,AdaBoost,1682,496,327,514,345,,0.6027,0.5898,0.5962,
Base,pattern,probe_avg,AdaBoost,1682,478,319,522,363,,0.5997,0.5684,0.5836,0.6238
Base,gibberish,gen,-,1922,429,253,708,532,0,0.629,0.4464,0.5222,
Base,gibberish,logit,-,1922,372,219,742,589,,0.6294,0.3871,0.4794,0.6423
Base,gibberish,probe_pl,LR,1922,602,386,575,359,,0.6093,0.6264,0.6178,0.647
Base,gibberish,probe_ml,LR,1922,563,368,593,398,,0.6047,0.5858,0.5951,0.6439
Base,gibberish,probe_vote,LR,1922,595,382,579,366,,0.609,0.6191,0.614,
Base,gibberish,probe_avg,LR,1922,604,391,570,357,,0.607,0.6285,0.6176,0.6588
Base,gibberish,probe_pl,RF,1922,528,355,606,433,,0.598,0.5494,0.5727,0.6256
Base,gibberish,probe_ml,RF,1922,539,392,569,422,,0.5789,0.5609,0.5698,0.614
Base,gibberish,probe_vote,RF,1922,568,363,598,393,,0.6101,0.5911,0.6004,
Base,gibberish,probe_avg,RF,1922,592,391,570,369,,0.6022,0.616,0.6091,0.6479
Base,gibberish,probe_pl,AdaBoost,1922,510,417,544,451,,0.5502,0.5307,0.5403,0.5823
Base,gibberish,probe_ml,AdaBoost,1922,586,433,528,375,,0.5751,0.6098,0.5919,0.6042
Base,gibberish,probe_vote,AdaBoost,1922,576,373,588,385,,0.607,0.5994,0.6031,
Base,gibberish,probe_avg,AdaBoost,1922,546,358,603,415,,0.604,0.5682,0.5855,0.6159
Base,both,gen,-,1512,372,206,550,384,0,0.6436,0.4921,0.5577,
Base,both,logit,-,1512,335,188,568,421,,0.6405,0.4431,0.5238,0.6648
Base,both,probe_pl,LR,1512,466,315,441,290,,0.5967,0.6164,0.6064,0.6431
Base,both,probe_ml,LR,1512,453,291,465,303,,0.6089,0.5992,0.604,0.6578
Base,both,probe_vote,LR,1512,467,316,440,289,,0.5964,0.6177,0.6069,
Base,both,probe_avg,LR,1512,471,321,435,285,,0.5947,0.623,0.6085,0.6527
Base,both,probe_pl,RF,1512,426,276,480,330,,0.6068,0.5635,0.5844,0.6354
Base,both,probe_ml,RF,1512,422,295,461,334,,0.5886,0.5582,0.573,0.6228
Base,both,probe_vote,RF,1512,460,298,458,296,,0.6069,0.6085,0.6077,
Base,both,probe_avg,RF,1512,475,316,440,281,,0.6005,0.6283,0.6141,0.6523
Base,both,probe_pl,AdaBoost,1512,404,324,432,352,,0.5549,0.5344,0.5445,0.5946
Base,both,probe_ml,AdaBoost,1512,464,329,427,292,,0.5851,0.6138,0.5991,0.6155
Base,both,probe_vote,AdaBoost,1512,461,293,463,295,,0.6114,0.6098,0.6106,
Base,both,probe_avg,AdaBoost,1512,439,282,474,317,,0.6089,0.5807,0.5944,0.6308
GradDiff,og,gen,-,2574,135,132,23,18,2266,0.5056,0.1049,0.1737,
GradDiff,og,logit,-,2574,790,673,614,497,,0.54,0.6138,0.5745,0.5704
GradDiff,og,probe_pl,LR,2574,109,110,1177,1178,,0.4977,0.0847,0.1448,0.5316
GradDiff,og,probe_ml,LR,2574,67,67,1220,1220,,0.5,0.0521,0.0943,0.5466
GradDiff,og,probe_vote,LR,2574,91,93,1194,1196,,0.4946,0.0707,0.1237,
GradDiff,og,probe_avg,LR,2574,91,94,1193,1196,,0.4919,0.0707,0.1236,0.539
GradDiff,og,probe_pl,RF,2574,934,927,360,353,,0.5019,0.7257,0.5934,0.5124
