model,balanced_accuracy_mean,balanced_accuracy_standard_deviation,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_standard_deviation,macro_f1_ci95_low,macro_f1_ci95_high,roc_auc_mean,roc_auc_standard_deviation,roc_auc_ci95_low,roc_auc_ci95_high,average_precision_mean,average_precision_standard_deviation,average_precision_ci95_low,average_precision_ci95_high,log_loss_mean,log_loss_standard_deviation,log_loss_ci95_low,log_loss_ci95_high,brier_score_mean,brier_score_standard_deviation,brier_score_ci95_low,brier_score_ci95_high,delta_balanced_accuracy_vs_A_mean,delta_balanced_accuracy_vs_A_standard_deviation,delta_balanced_accuracy_vs_A_ci95_low,delta_balanced_accuracy_vs_A_ci95_high,delta_macro_f1_vs_A_mean,delta_macro_f1_vs_A_standard_deviation,delta_macro_f1_vs_A_ci95_low,delta_macro_f1_vs_A_ci95_high,delta_roc_auc_vs_A_mean,delta_roc_auc_vs_A_standard_deviation,delta_roc_auc_vs_A_ci95_low,delta_roc_auc_vs_A_ci95_high,delta_log_loss_vs_A_mean,delta_log_loss_vs_A_standard_deviation,delta_log_loss_vs_A_ci95_low,delta_log_loss_vs_A_ci95_high,delta_brier_score_vs_A_mean,delta_brier_score_vs_A_standard_deviation,delta_brier_score_vs_A_ci95_low,delta_brier_score_vs_A_ci95_high
Model A,0.5594366415767829,0.01137213748684937,0.5384958679289206,0.5762275936990766,0.5579111960465069,0.013447537406833772,0.5323571888625936,0.5777290573285929,0.5672767129665555,0.00888708672533315,0.5477466633041049,0.5820802940948242,0.7212230999613913,0.006454112438007794,0.7090689137349799,0.7330073900379602,0.6834374521746795,0.0026516978386646947,0.6792584774383763,0.6890274094487974,0.24501496216727908,0.0012750094286611755,0.24301302094306215,0.2477404240567184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Model B,0.5702310467913401,0.010248612953823953,0.5521253976875922,0.5863168309148754,0.5582623842003741,0.009760874364685045,0.5410813790756506,0.5736895596759233,0.5756485217661209,0.011709211609878693,0.5523449988360363,0.593054531698611,0.726587743583444,0.0103557780646269,0.708733497694174,0.7429201717995892,0.6879670664117526,0.004665218927091813,0.6810739681653015,0.6971911306958567,0.246879677188585,0.0021894583436769073,0.24375054265041,0.25135316817688086,0.010794405214557296,0.015259717989815449,-0.010301175603321213,0.03341322650733294,0.0003511881538673933,0.01642761099202685,-0.021230549544505387,0.024705918221272303,0.00837180879956545,0.007234835792001891,-0.003973190036470934,0.021082292232482445,0.004529614237072965,0.0028423084239449317,0.00013080645055898457,0.009599322561939216,0.0018647150213059933,0.0013120262814409534,-6.930303841380103e-05,0.004265946737714527
Model C,0.5695995964925895,0.012860603239653868,0.5526560681306744,0.5904172809808335,0.559484740863259,0.012999065425396809,0.5426091278714856,0.5805819899890561,0.5730350353068985,0.010653505545875026,0.5500616900752697,0.5838869597268566,0.7150923915874734,0.007894355630586923,0.7001983759217242,0.7259460928341896,0.6871578142044655,0.0038540966902145036,0.6828107886761646,0.6957889361545572,0.24665006115961238,0.0018355334277383676,0.24464127312849188,0.25079125220037257,0.010162954915806637,0.011973374615393514,-0.011624505315434136,0.030296034763715337,0.0015735448167521371,0.01377560295877553,-0.021248224705675712,0.027810280887188565,0.005758322340342986,0.007410772165713941,-0.007546655544346989,0.015933013889966617,0.003720362029785973,0.002600008453215329,0.00047097696855617766,0.009330862955578341,0.001635098992333331,0.0012176149096438536,0.00014472045625887054,0.004274284466103895
Model D,0.5497192907581284,0.0129844837024946,0.5282382439667882,0.5683327190191666,0.545857378400715,0.014561473763751226,0.5240087200122906,0.5673180299386168,0.5593270349965082,0.011311010019151238,0.536668347947544,0.5746941685419414,0.7112195506633433,0.008827313206779479,0.6947066372057262,0.7262007961173188,0.6874744306676649,0.0034817267015451684,0.6828662832942771,0.694629695470279,0.24693276703131378,0.0016758138989777314,0.24474588160356986,0.25039706273913753,-0.009717350818654468,0.010752028698396969,-0.026578819740824124,0.004226934119655468,-0.01205381764579187,0.012286575281182413,-0.031022707823047196,0.004617740061284373,-0.007949677970047359,0.006618811877576747,-0.020204566617521496,0.001552242570031785,0.00403697849298526,0.002381510941206597,0.001001430334392217,0.008888227353942228,0.0019178048640347111,0.0011473306792832547,0.00045524218596020645,0.004226549104030365
Model E,0.5731772328703344,0.010232004497360435,0.5505030263055792,0.5880093311088693,0.5583067370385276,0.010555791546922474,0.5347812355859443,0.5736120482011441,0.5829343524482036,0.008768674559092596,0.5622292814464189,0.5958533793745635,0.725243820994809,0.007211809593742432,0.7103721328567535,0.7374935965151901,0.683948885014657,0.003964431530827696,0.67872623471297,0.6929506944283806,0.24513273963551013,0.0018653177309665516,0.2426231496734445,0.24940352396645696,0.013740591293551641,0.012020428176315694,-0.00420976565531157,0.034957127337627,0.0003955409920208264,0.013924341161880235,-0.02144210046995705,0.02313277195763189,0.01565763948164815,0.009128787566535892,-0.0016261542639869231,0.02967486614417622,0.0005114328399773771,0.0036765394201757036,-0.004294362307210586,0.008273551724933437,0.00011777746823109364,0.0017310480177037855,-0.002177332266752259,0.0037542384431554798
Model F,0.5621061922868007,0.013413348945188178,0.5393604989524327,0.584342942500194,0.5474846967313562,0.013624693496018908,0.5227472688814835,0.5669487966023271,0.5711631877085436,0.014117905624086775,0.5448519826181423,0.5948361721114301,0.7232709744551565,0.011543017002665489,0.7070826888665855,0.744046070032322,0.6947139913669527,0.007669185312634227,0.6840357750701973,0.7097321748887848,0.24969107937238247,0.0034636180492689937,0.24490342162355602,0.2566709127935048,0.002669550710017865,0.015546988813367644,-0.02418522542096687,0.027606114689221722,-0.010426499315150517,0.017133936208133024,-0.042248799865681426,0.0161587170401377,0.003886474741988055,0.014145668825371355,-0.02214954993404208,0.02916660200201756,0.01127653919227301,0.007467462567864601,0.0021588834327518707,0.02585619137778911,0.004676117205103435,0.003351348604088006,0.0006854111056260097,0.011258736263507051
Model G,0.5615903623806937,0.009491026490672273,0.5469532280592846,0.5774093078295957,0.5468477998326863,0.00940632132922834,0.5316803312821389,0.5635625193418132,0.5662716303251338,0.01344829932318845,0.5444278148521766,0.5903330876076666,0.720880993312855,0.012467875495546997,0.7055808877158972,0.7436534287869007,0.7074192944918339,0.007974628652388554,0.6931026297474586,0.7212384738562094,0.2544181221257109,0.0035362823709500736,0.24831774856120045,0.26055678269410315,0.0021537208039109244,0.013546199139283226,-0.021889307053619866,0.022875863273065834,-0.011063396213820497,0.01534058255080545,-0.03687736887162192,0.013172782464817404,-0.0010050826414215951,0.014110042018096604,-0.027284084736556167,0.024195313106231076,0.023981842317154327,0.007488146983219075,0.010698526693601444,0.03559178158763421,0.009403159958431863,0.0033210943987590814,0.003484708688803381,0.014789320776010422
